"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"SPCS2",-0.211492773844581,13.14852459718,-1.4938284981841,0.14830920973196,0.300822791107632,-6.60637660030605,"SPCS2",0.122665499492727,0.828831879237436,""
"ERN1",-0.211809767024194,13.0555546392727,-1.09129812720121,0.286023876970018,0.472319580858117,-7.11123454834411,"ERN1",0.192596169634723,0.543597710914704,""
"PEF1",-0.211835737374807,11.6100793108155,-0.801610356953139,0.432744456783273,0.605521310088097,-7.25819557686834,"PEF1",0.246911391527083,0.363768486488629,""
"BORCS7",-0.211854124486397,11.0542146480738,-1.59202045441445,0.127971809986979,0.26970200308007,-6.33972022403298,"BORCS7",0.10997548024933,0.892885687503986,""
"GLUD1",-0.212063983376192,12.8912151464709,-2.27278622246841,0.0323220620770998,0.0982014242724626,-5.28455681686815,"GLUD1",0.0400432650562332,1.49050093997239,"+"
"SDR39U1",-0.212434240988967,11.6635838479987,-1.7706899385224,0.089370346460708,0.207431221084421,-6.18396666315129,"SDR39U1",0.0845835325542297,1.048806558439,""
"BTF3",-0.213334995693195,10.5662476413467,-0.860879596780685,0.398633964950221,0.577434676844058,-7.28983547524502,"BTF3",0.23545859939234,0.399425700713221,""
"AIFM1",-0.213851580164715,15.0487661465776,-2.03176766385309,0.0534397077056577,0.14307244476482,-5.73601268226552,"AIFM1",0.0583401704242644,1.27213592594731,""
"RTN4IP1",-0.214575778578192,11.8701056803224,-2.58328941330966,0.016339604883652,0.0571686420256871,-4.65643699449332,"RTN4IP1",0.0233114652104027,1.78675844957376,"+"
"CBX1",-0.215003117012282,11.2989467462128,-0.7993348948908,0.433089490478803,0.605521310088097,-7.31302864186708,"CBX1",0.246911391527083,0.363422354904287,""
"ITPA",-0.215231222829335,11.8615387139071,-1.22736041571109,0.231642254534125,0.406768628750043,-6.9559904968653,"ITPA",0.16586667798632,0.63518221680478,""
"PMPCA",-0.216576119256073,12.7431695342787,-2.30519191220068,0.0301526088209477,0.0927922219844649,-5.22132520772313,"PMPCA",0.0378375728010974,1.52067510649144,"+"
"GPT",-0.217545609729703,14.239737240588,-1.58836612636467,0.125349149040723,0.266189098688898,-6.46861653542276,"GPT",0.108543035020607,0.901878609995935,""
"FKBP7",-0.217615837789214,10.9716105832931,-1.68719643779271,0.104578804145779,0.233284908390662,-6.31734049709187,"FKBP7",0.095125803821217,0.980556328617079,""
"MT-ND4",-0.217737802748953,9.81395119462664,-0.900212972210811,0.378265513151248,0.558326920391373,-7.22843519795742,"MT-ND4",0.227667093699491,0.422203251968807,""
"HEBP1",-0.218109020337527,11.3101672471291,-1.75838698883856,0.0914851388686918,0.210983454828522,-6.20393273162828,"HEBP1",0.0860320149811453,1.03864944835439,""
"KRT71",-0.218372923165914,11.7163154405396,-0.494960456570533,0.62514875242851,0.764605012585639,-7.58872601870148,"KRT71",0.311780418757907,0.204016631180269,""
"TUBB2B",-0.218639637207962,15.2392193925824,-1.30595717626042,0.20400036944938,0.373066490328514,-6.85900250499079,"TUBB2B",0.152124070159871,0.690369046056054,""
"ATPAF2",-0.219411682202628,11.2386583261691,-1.29004673460866,0.210493865911224,0.380564399392245,-6.82790315425186,"ATPAF2",0.155181467363943,0.676760555598967,""
"HSPE1",-0.220049365691025,16.0395277572894,-1.68314822231514,0.105368749759001,0.234759673002101,-6.32367912499125,"HSPE1",0.09572716363518,0.97728817299052,""
"NUDT16",-0.220738644604038,11.1298534963965,-1.11680537509748,0.281769588294882,0.466951106948438,-6.81873725850007,"NUDT16",0.190407085053665,0.55010588258383,""
"GOT1",-0.220959530645409,18.9321839318065,-1.96104981453453,0.061628615041695,0.158359470659762,-5.86178458830586,"GOT1",0.0645737096459996,1.21021759190762,""
"OXCT1",-0.221427402769235,11.4521139023942,-0.476373087738341,0.641212623196056,0.77364140599044,-6.66817888188568,"OXCT1",0.315465158556149,0.19299793651997,""
"PREB",-0.222418750561994,12.5268290539413,-1.81134274746817,0.0826777711440294,0.196768291059864,-6.1172364219455,"PREB",0.0802355453797796,1.0826112397479,""
"RER1",-0.22353457905448,11.1549381397575,-1.442897163523,0.162592486044767,0.319382083088623,-6.65447854296648,"RER1",0.130233359669468,0.788899528512536,""
"EEF1A1",-0.223623618618358,14.6850209841584,-1.68926376681346,0.104177330128254,0.232752161457505,-6.31409888754008,"EEF1A1",0.094908567393025,0.982226776922754,""
"EZR",-0.224005193483102,11.6935662671035,-1.28717483747542,0.210362676649221,0.380564399392245,-6.88265703790308,"EZR",0.155181467363943,0.677031311871744,""
"CAV1",-0.22433076726149,14.516428177864,-2.30187173056542,0.0303686074407177,0.0933415159994847,-5.22782997033512,"CAV1",0.0380615565773023,1.5175751222957,"+"
"STAU2",-0.225028033256333,10.1312033853348,-0.650853715234754,0.52656911820769,0.68720511459663,-7.14774292731036,"STAU2",0.280219322231444,0.27854461462848,""
"SLC27A1",-0.225204316986117,12.6577318043498,-2.51153095698607,0.0191895315879697,0.0648574123980547,-4.8058349458125,"SLC27A1",0.0264466892894649,1.71693562616306,"+"
"CANX",-0.226082393663688,14.1876262272122,-2.77199087655871,0.0106205093911336,0.0410755376721952,-4.25262043356373,"CANX",0.0167492340820991,1.97385465270341,"+"
"BABAM2",-0.22616183852379,11.2623704778495,-1.1983338222946,0.242537891360594,0.42018368345885,-6.99046990268322,"BABAM2",0.171336889802782,0.615220402532641,""
"SPG7",-0.226279412862416,12.1405499268659,-2.10329580838981,0.0461545044242021,0.128616790777677,-5.60562249713946,"SPG7",0.0524456369339729,1.33578590783173,""
"IMPA1",-0.226688514592755,14.826009250273,-2.42513069213524,0.0232320116156874,0.075471075191938,-4.98244087731796,"IMPA1",0.030774586930682,1.63391318383866,"+"
"HNRNPF",-0.227435201824457,11.6418347880927,-1.81190287685084,0.082588657542004,0.196768291059864,-6.11630894372595,"HNRNPF",0.0802355453797796,1.08307959317794,""
"CASTOR2",-0.228124487563536,10.7840071761826,-1.11497850887026,0.2868800929163,0.47268326190354,-6.69021013673453,"CASTOR2",0.192744466633526,0.542299587120188,""
"ANXA2",-0.228158544880104,15.9523337671852,-2.05967540471277,0.0504836131333235,0.137472978865435,-5.68551298553442,"ANXA2",0.0560568950151389,1.29684957001371,""
"ALDH16A1",-0.228922600039203,10.8500676767522,-1.2057030390419,0.245574335280132,0.423393823838395,-6.74695730123478,"ALDH16A1",0.172645877967039,0.609817022826591,""
"H6PD",-0.229486478925065,12.6657627380829,-2.73181175958219,0.0116515652225181,0.0442264982318923,-4.33986884833,"H6PD",0.0180340906899179,1.93361572941548,"+"
"NUCB2",-0.229806468010478,10.2944545464735,-1.01786644786791,0.320383120643197,0.500750802568564,-7.11546847993636,"NUCB2",0.204189473451429,0.494330372752033,""
"VBP1",-0.230135595875318,12.5300972281257,-1.47462622635262,0.153367817143212,0.30798270123945,-6.63350552566742,"VBP1",0.125585072007191,0.814265763616953,""
"RMDN1",-0.230144030613108,12.8704571547192,-1.9897460452188,0.0581808801249188,0.151897570839758,-5.81113189093208,"RMDN1",0.0619387624527562,1.23521971329686,""
"TIMM23",-0.230339721022055,9.50853852508426,-1.33561411229265,0.20048680640585,0.368761722322329,-6.58916760166102,"TIMM23",0.150368729363601,0.697914202064586,""
"AARS1",-0.230369387131628,12.3518749880146,-3.08906855003481,0.00503367907702876,0.0228310451956518,-3.54271880812183,"AARS1",0.00930973864232122,2.29811447641546,"+"
"LARP4",-0.230969676249973,10.5690725669069,-1.33003661654113,0.198553757610349,0.367093575116808,-6.723310412272,"LARP4",0.149688514578547,0.702121889541938,""
"PDK1",-0.23123080391442,10.6476991825593,-1.36372861825507,0.186510622330879,0.35141106063922,-6.73889968069121,"PDK1",0.143293708305351,0.729296428797305,""
"MIX23",-0.232065647096553,12.4886557799433,-2.23331178701949,0.0351563700788784,0.1047057441984,-5.36079987312677,"MIX23",0.0426955097536443,1.45399597250882,"+"
"MYH11",-0.232276180542607,10.7240101601378,-1.23132185844044,0.232560192768094,0.407336151592586,-6.84743244587624,"MYH11",0.166098094870319,0.633464621252743,""
"MYH14",-0.232419218784523,13.2368105473141,-3.47210047374337,0.00198285814937885,0.0113046614014388,-2.64320898010832,"MYH14",0.00460966382333541,2.70270835344247,"+"
