"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"EML1",0.1993079999099,12.1999238451729,3.37282933340791,0.00149373939090991,0.0398745431851229,-1.20545355797831,"EML1",0.0267993132123459,2.82572516621701,"yes"
"GDPD1",0.199183402344527,12.676543775478,0.567396745107199,0.576698981064142,0.817817590953233,-5.62125211708253,"GDPD1",0.549647670413916,0.239050815918063,"no"
"PIN1",0.199139027101124,13.3184506292239,2.24982908897393,0.0291621624837385,0.190645157461719,-3.81244805337269,"PIN1",0.128130854402862,1.53518027459504,"no"
"SNX12",0.198877496854136,10.9166648361209,1.9607168326228,0.0580991819373176,0.273712022656421,-4.24841321611789,"SNX12",0.183959329417245,1.23582998262878,"no"
"HNRNPA0",0.198837200717527,12.4140215497742,1.32121081348216,0.192938423350991,0.500217153346139,-5.30757119992542,"HNRNPA0",0.336191341540254,0.714581274753198,"no"
"HSPD1",0.198794224679173,17.6581819819847,2.48670357554367,0.0164867112411534,0.139387649584297,-3.32580554330003,"HSPD1",0.0936811554630173,1.78286596850752,"no"
"ARF1",0.19849693842845,14.5295542867773,2.77936828541779,0.00779611448698819,0.0924500427086924,-2.67455435489617,"ARF1",0.062134822198274,2.1081217918348,"no"
"SLC25A5",0.19823558455357,10.5632115431474,0.970537763669437,0.339489720449613,0.644722949954363,-5.50079893884811,"SLC25A5",0.43331235647763,0.469173371367567,"no"
"LMO7",0.198114033567396,11.5404215226577,1.52812440038033,0.133300937123999,0.413677719836911,-5.03275469119832,"LMO7",0.278028985345586,0.875166797425216,"no"
"SYNPO2",0.197911938151378,16.6194904900562,2.55541233606995,0.0138876365149912,0.127509732715668,-3.1777082382859,"SYNPO2",0.0856981169365381,1.85737165893021,"no"
"MYG1",0.197562584498305,11.9416292735423,2.57499738823061,0.0133675983804389,0.125125928996121,-3.12552329300225,"MYG1",0.0840959844125291,1.87394661097368,"no"
"SMTNL2",0.197380225834999,14.479522962043,1.63639804213211,0.108408898857628,0.375409609229711,-4.88387230064443,"SMTNL2",0.2523093406729,0.964935066818492,"no"
"CMPK1",0.197247088711531,12.9326161763551,2.92599732845794,0.00526561292253074,0.0778500618238775,-2.32904579894111,"CMPK1",0.0523223095179431,2.27855106923063,"no"
"FAHD2A",0.196930483624687,13.4150729979389,1.75684149028578,0.085431489500244,0.334800027819707,-4.69642957890428,"FAHD2A",0.225016015039642,1.06838202163543,"no"
"ILF2",0.196725948194691,11.1824826817051,0.881554194020154,0.383259524365228,0.681870274930505,-5.70612637580351,"ILF2",0.458278731450619,0.416507043706815,"no"
"RBX1",0.196618013029349,13.714252610913,1.64490797511898,0.106634383866943,0.375409609229711,-4.87101431251505,"RBX1",0.2523093406729,0.972102736060666,"no"
"KPNB1",0.196612656782065,14.203255158724,3.82348218977835,0.000384929498959691,0.0212532612696432,0.0206598413987669,"KPNB1",0.0142841211472862,3.41461880559933,"yes"
"COA6",0.196563799477882,11.6669501505166,2.7764434984014,0.00785648992841819,0.0924500427086924,-2.68132017706138,"COA6",0.062134822198274,2.10477144189955,"no"
"PAM16",0.196561527079991,11.7214843211239,2.32512000067888,0.0248309576339297,0.17417919916939,-3.63431848659481,"PAM16",0.117064235493428,1.60500653106519,"no"
"MOCS2",0.196268492063528,12.5189681601969,2.52154315467715,0.015118228193236,0.133698932150611,-3.25108976241311,"MOCS2",0.0898578208714689,1.82049910374152,"no"
"FECH",0.196123229467624,14.0791313286891,2.23095559916193,0.030473701801303,0.195291411099537,-3.84957201937084,"FECH",0.131253558678766,1.51607478653122,"no"
"C1QBP",0.195703671965351,16.8598341199064,2.85434356456021,0.00638751597641114,0.085435510563932,-2.49941902410096,"C1QBP",0.0574204197507586,2.19466800060149,"no"
"LRRFIP2",0.195364069636673,11.7324237403059,1.15589586521029,0.253798112986983,0.564220339745821,-5.49219198067224,"LRRFIP2",0.37920729362151,0.595511611249932,"no"
"ETFA",0.195277717810175,16.8556488272629,1.15687777271505,0.253144692845087,0.564220339745821,-5.50965063422791,"ETFA",0.37920729362151,0.596631173125071,"no"
"GRSF1",0.194806597742827,12.6369280756397,2.90195109309651,0.00561985382479716,0.0798129979157153,-2.38654269112167,"GRSF1",0.0536415807857481,2.25027498050026,"no"
"RAB4A",0.194758024304251,10.9690427128077,2.03552892005364,0.0484272704928502,0.247626072954506,-4.157154465941,"RAB4A",0.16642720288585,1.31491000841164,"no"
"TUBA8",0.194497621861228,14.5089653821273,1.65699791314338,0.104154279494158,0.371629687848586,-4.85264554992388,"TUBA8",0.249768890327412,0.982322881044941,"no"
"CHCHD3",0.194339330743906,15.1469874957343,2.61770748471033,0.0118598172307547,0.116695744287597,-3.04084398407396,"CHCHD3",0.078430134915701,1.92592200374463,"no"
"CAVIN2",0.193762254427075,12.0106675337122,2.00626192624423,0.0505781661588116,0.253154258742802,-4.27192524421651,"CAVIN2",0.1701426456371,1.29603692116692,"no"
"LETM1",0.193597580290206,13.1963858362872,1.88194689846845,0.0660180600640817,0.294628586942334,-4.48951153644616,"LETM1",0.198017159622895,1.18033724153014,"no"
"COPA",0.193562862095272,11.5874925830128,2.1151100500875,0.0397280177265185,0.22817174236693,-4.07190254451342,"COPA",0.153352126481025,1.40090310400861,"no"
"NDUFA12",0.192693803972203,13.3201468538213,1.64834353173955,0.105924755858593,0.375409609229711,-4.86580664324378,"NDUFA12",0.2523093406729,0.975002528312461,"no"
"RPLP2",0.192183575317271,15.3313326376825,2.77183101066806,0.00795258276365118,0.0932003906813267,-2.69197990070021,"RPLP2",0.0626391241596411,2.09949180243311,"no"
"PSMC6",0.192135967593821,13.1942341994698,3.88430097698829,0.000318738257375975,0.0196536134422898,0.192253319329592,"PSMC6",0.0132090125759938,3.49656580608977,"yes"
"MLEC",0.19180507970858,11.1007476275487,1.41798239555899,0.16276549321746,0.457807723849696,-5.19332296810493,"MLEC",0.307688354585506,0.788437661447328,"no"
"BPNT1",0.191526216998883,11.3978138425352,2.13674756506473,0.0378322054686022,0.221162695176474,-4.03110687718519,"BPNT1",0.148641410420779,1.42213834031115,"no"
"TBRG4",0.191306033798906,11.4767792274659,1.87359920521262,0.0674606355892863,0.298834307645679,-4.48625151353201,"TBRG4",0.200843785771045,1.17094957136473,"no"
"SBDS",0.191188733255366,12.7748600000348,1.89479013931514,0.0642559602822686,0.289453021084032,-4.46757888986969,"SBDS",0.194538709478806,1.19208658165203,"no"
"RPL3L",0.19101701443714,10.846361759989,1.89446093105957,0.0644340503732203,0.289802444970349,-4.46120506873773,"RPL3L",0.19477355405445,1.19088456771542,"no"
"ACTR3",0.190706225522653,11.3051573159617,2.13774298095282,0.0377469332973055,0.221162695176474,-4.02922195591812,"ACTR3",0.148641410420779,1.42311832631714,"no"
"ATAD3A",0.190125036729746,12.7594533275553,2.40221016508031,0.0202832779737584,0.158045109184717,-3.50371662250295,"ATAD3A",0.106220662216913,1.69286185748098,"no"
"PMPCB",0.189153428555448,13.5259956312132,2.80602357994239,0.00726531896762212,0.0891908945669287,-2.61266296308803,"PMPCB",0.0599443787504065,2.13874531421698,"no"
