"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"PITHD1",0.487936134368084,12.5376117242728,2.85497622695853,0.00885132604568109,0.111185078047503,-2.76251141921543,"PITHD1",0.0654854458871664,2.05299166137205,""
"TBCEL",0.485914411272192,9.45319858030561,2.33214511329616,0.0346005155166399,0.207465930706378,-3.69780876570132,"TBCEL",0.122192646866683,1.46091743056086,""
"LGALSL",0.483117254468695,13.1806529758293,3.56527534053858,0.00160677024602719,0.0489552126023602,-1.19831190581256,"LGALSL",0.028833490807075,2.79404621907744,"+"
"RRAS2",0.478764104998199,12.8671891545943,3.7770801751557,0.00100789127774787,0.0400916752704152,-0.743910442234549,"RRAS2",0.0236130718037985,2.99658631314919,"+"
"PPP4R1",0.478202854277104,10.0353895315793,2.68110555523209,0.0141769626276156,0.133233438533399,-3.11443177202209,"PPP4R1",0.0784714215491432,1.84841680549739,""
"IGHV3-7",0.476454269027702,12.5191424502054,1.32225816673186,0.199996130059251,0.476926658192919,-5.37207208986327,"IGHV3-7",0.28089879879291,0.698978407886885,""
"ACSS3",0.476132807943804,11.0471280460035,2.50052397258051,0.0205562886054281,0.161106434505528,-3.47154224665204,"ACSS3",0.094887973135915,1.6870552935523,""
"NDUFB1",0.4718539117706,14.0159814044187,1.28136825001174,0.212579943191704,0.492549677018527,-5.46130603671669,"NDUFB1",0.290100396452098,0.672477713340818,""
"SAE1",0.463360355764555,10.6813220952264,3.26240373748421,0.00364648647480335,0.0725245643321999,-1.90823109937662,"SAE1",0.0427152952218777,2.43812539294129,"+"
"PPP1R12B",0.459019373402956,12.3248551763994,4.53793269322696,0.000141008843814751,0.0122378584450136,1.06890270554342,"PPP1R12B",0.00720781629197893,3.85075364834108,"+"
"MYOM3",0.458427281558981,15.5065473882836,2.74742208642051,0.0113474450661135,0.122968512445785,-2.98675102520193,"MYOM3",0.0724256168993595,1.94510191103425,""
"LAP3",0.458116605112899,14.815930651711,5.44185042180805,1.46772260156567e-05,0.00600508218697724,3.18493126807752,"LAP3",0.00353685486855776,4.83335601798481,"+"
"CAVIN3",0.454843429903812,8.96602522797235,1.12155220461894,0.29680510911902,0.581032011289728,-5.04073937572344,"CAVIN3",0.342214450016115,0.527528627506554,""
"MRPL19",0.454340287209266,10.9923402234881,2.15070326695689,0.0449696065398282,0.236667945579485,-4.0757424088438,"MRPL19",0.13939195992515,1.34708091226148,""
"PELO",0.452555881407767,11.9564312412551,3.34227454787179,0.00277335021585228,0.0645762196601702,-1.70227396409928,"PELO",0.0380339035814422,2.55699528469246,"+"
"ZNF512",0.451153831266167,12.7780070781758,2.0203558463218,0.0566244040971493,0.266798408086954,-4.32729196055325,"ZNF512",0.15713810722061,1.24699635537525,""
"SERPINB3",0.450437939569325,13.4659101530764,1.49609383426063,0.148543353950898,0.414209326761646,-5.16572110215816,"SERPINB3",0.243959737493017,0.828146774402357,""
"CALU",0.447706357554489,15.4926235871903,4.12245140896851,0.000401068202475401,0.0225227319978343,0.0921575889037491,"CALU",0.0132653695385741,3.39678176842693,"+"
"MEMO1",0.447284841607312,12.0970500156739,5.16461623840523,2.92487242045191e-05,0.00648175093912252,2.54052715810513,"MEMO1",0.0038176017666386,4.53389307259107,"+"
"HSPB1",0.444991350206717,19.509093108112,4.23598801629304,0.000301526426511644,0.0187732975115076,0.358463622909977,"HSPB1",0.0110570391270334,3.52067461922785,"+"
"RASA4",0.444759273465822,10.3713568772164,3.18309285966144,0.00502651192717166,0.0836972683687189,-2.11433685959347,"RASA4",0.049295760140778,2.29873328259105,"+"
"FAM98A",0.444531040578449,10.9348424513007,1.67846577771354,0.107753472194861,0.359208967051211,-4.88818949346059,"FAM98A",0.211565794503171,0.96756872645009,""
"ECM1",0.444317074587921,11.3622635951539,1.78814291177178,0.0872470252287144,0.317907735693433,-4.73751695803879,"ECM1",0.187240322068843,1.05924937180464,""
"PGM5",0.442293287611669,13.7879951163044,4.01588395268959,0.00052394359264144,0.025433465242798,-0.157077010962425,"PGM5",0.0149797242681145,3.28071546630482,"+"
"MOGS",0.441768654045937,11.976180277533,4.41776821010767,0.000190833792900575,0.0130130472111249,0.785940277798995,"MOGS",0.00766438459131345,3.71934471783554,"+"
"LGALS3",0.440964061027366,13.5537599784297,2.86107536950688,0.00872667339208272,0.111080855977444,-2.74967465277542,"LGALS3",0.0654240614923454,2.05915127780554,""
