"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"IL18",-0.0335283206917101,12.0728719353798,-0.205173065748471,0.839303712249111,0.945692142054368,-6.25601117369036,"IL18",0.670200619100404,0.0760808559936037,""
"RUVBL2",-0.0335457810931263,9.61161091607962,-0.165336962180464,0.870108965402046,0.957864330492421,-6.28132495926402,"RUVBL2",0.678826902289422,0.0604263564508944,""
"PHB2",-0.0336824109101705,15.1572926633595,-0.404738067152734,0.689080595467927,0.87695603313103,-6.25635458227157,"PHB2",0.621488167440501,0.161729979659914,""
"EIF4A1",-0.0339510263543374,13.4852250570719,-0.356815401301653,0.724196593260034,0.892334322813603,-6.27463650365309,"EIF4A1",0.63238657592635,0.140143522506923,""
"RO60",-0.0340561078932353,12.3828842382313,-0.516022718406748,0.610330951525072,0.842775825422098,-6.20517000032412,"RO60",0.597265066339393,0.214434605242985,""
"SH3KBP1",-0.0340621341912026,9.4395959998203,-0.136468698451061,0.894098149621782,0.965702434924289,-5.86326324782148,"SH3KBP1",0.684381672398223,0.0486148039116554,""
"GDE1",-0.0342609647153544,10.2035955085292,-0.286697520547846,0.776780854221991,0.915777016947851,-6.27714238928679,"GDE1",0.649000130616594,0.10970148728158,""
"GALM",-0.0343848959107245,12.1365132500279,-0.477986746773193,0.636774551959591,0.852801806502891,-6.22403136927253,"GALM",0.604370358250606,0.196014301056131,""
"EIF1B",-0.0348407685611782,10.4058336198483,-0.12305961152121,0.903118230522459,0.969051609388756,-6.29182834819792,"EIF1B",0.686755191961032,0.044255390879909,""
"TMEM14C",-0.03493733039722,11.3906546152363,-0.261219086594662,0.796043785415177,0.925816302022227,-6.30429015311345,"TMEM14C",0.656114850907656,0.0990630437683359,""
"GYG1",-0.0350341417765403,15.5480990880607,-0.393456675010564,0.697287032333926,0.881774689301534,-6.26086284862923,"GYG1",0.624903090971206,0.156588411430944,""
"ACTG1",-0.0350892041800677,8.71396159952733,-0.147424383629684,0.884331498823998,0.962334906472162,-6.19031358326923,"ACTG1",0.681995145585649,0.0533849056624454,""
"NCK1",-0.0351242044499021,11.0432938932177,-0.351171661238758,0.72837475832303,0.895470596535394,-6.27663972970005,"NCK1",0.634609215299715,0.137645113002006,""
"ME1",-0.0353691418390945,13.9654490216126,-0.498460802005482,0.622476455990582,0.847643080790602,-6.21405442721484,"ME1",0.600714431535771,0.20587707029928,""
"CTBP1",-0.0354761244432336,12.1360368005492,-0.446022549186059,0.659384724583659,0.862817776902027,-6.23878572619613,"CTBP1",0.611468555712424,0.180861118014624,""
"RPS18",-0.0355585596907364,14.7716095590635,-0.432825320807547,0.668818667577102,0.868131477027163,-6.24458453112369,"RPS18",0.615234310925155,0.174691613690177,""
"TRAPPC3",-0.0356429822297137,11.128614536298,-0.327960324724613,0.745758366170294,0.903357344650914,-6.26440983558816,"TRAPPC3",0.640198458600636,0.127401865875772,""
"FKBP1A",-0.0357707242513357,13.7192904321544,-0.373341621032532,0.712012365885283,0.886843737778019,-6.26858886709529,"FKBP1A",0.628495464510242,0.147512463681814,""
"LPIN1",-0.0358596740108705,12.5304697583296,-0.397570142996154,0.694290350264462,0.880791180002996,-6.25923359750761,"LPIN1",0.624206089789257,0.158458870831621,""
"NDUFB7",-0.0358646850602344,14.0267941298272,-0.337996069276778,0.738162065877502,0.900023732922083,-6.28119325896269,"NDUFB7",0.637835968160936,0.131848276944999,""
