"","protein","group"
"2084","DAZAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2085","CCDC51","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2086","DNAJA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2087","PTCD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2088","MMAB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2089","DYNLL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2090","S100A16","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2091","SIPA1","Male_type_I"
"2092","SCRN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2093","OTUB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2094","MRPL48","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2095","DMAC1","Male_type_I, Male_type_II, Female_type_I"
"2096","DCUN1D1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2097","FAHD2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2098","APIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2099","SNF8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2100","PDLIM5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2101","ERO1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2102","FMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2103","AHCYL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2104","DDRGK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2105","DHTKD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2106","SCLY","Male_type_I, Male_type_II"
"2107","PYURF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2108","RCC1L","Male_type_I, Male_type_II, Female_type_I"
"2109","NARS2","Male_type_I, Male_type_II, Female_type_I"
"2110","SUCLG2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2111","ABHD14B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2112","NGLY1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2113","ATP5MK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2114","CDK5RAP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2115","TMX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2116","PDLIM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2117","BTF3L4","Male_type_I, Male_type_II, Female_type_I"
"2118","RNF170","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2119","USP47","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2120","CNDP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2121","LMLN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2122","ALPK3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2123","SENP8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2124","CARD19","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2125","PRRC1","Male_type_I, Male_type_II"
"2126","STAC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2127","COQ10A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2128","JSRP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2129","PCMTD1","Male_type_I, Male_type_II, Female_type_I"
"2130","HSPA12B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2131","CCDC43","Male_type_I, Female_type_I, Female_type_II"
"2132","RILP","Male_type_I, Male_type_II, Female_type_I"
"2133","IPO9","Male_type_I, Female_type_I"
"2134","PGLYRP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2135","MCEE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2136","QKI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2137","PLIN4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2138","VPS35","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2139","PURB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2140","VPS13A","Male_type_I, Female_type_II"
"2141","GFM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2142","MCCC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2143","METTL26","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2144","PEBP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2145","PPP1R9B","Male_type_I, Female_type_I"
"2146","GPX7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2147","OSBPL9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2148","NIBAN2","Male_type_I, Male_type_II, Female_type_II"
"2149","MYCBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2150","TBCB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2151","PSMB7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2152","PCYT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2153","CDC5L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2154","PSMD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2155","PFDN5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2156","PARK7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2157","VAT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2158","PLIN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2159","S100A13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2160","TSNAX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2161","SEPHS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2162","EIF3C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2163","TTC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2164","DNAJC7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2165","C12orf57","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2166","PHB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2167","COPS8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2168","SDHC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2169","CHP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2170","MGLL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2171","MTR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2172","HSD17B10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2173","HNRNPAB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2174","NAP1L4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2175","NAPG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2176","TXN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2177","DMAC2L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2178","ACO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2179","TM9SF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2180","COQ7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2181","TSG101","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2182","CPNE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2183","CCT7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2184","PRMT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2185","ARPC5L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2186","MACROD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2187","WDR77","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2188","APOL2","Male_type_I, Male_type_II, Female_type_I"
"2189","FYCO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2190","JPH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2191","CORO1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2192","TXNDC17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2193","PLCD4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2194","CPPED1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2195","VPS25","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2196","MRPL45","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2197","UQCC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2198","PELO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2199","PRXL2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2200","ERP44","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2201","NIPSNAP3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2202","TACO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2203","HDHD3","Male_type_I"
"2204","ESYT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2205","UBAC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2206","COPS4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2207","AARSD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2208","ANP32E","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2209","TMEM43","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2210","HGH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2211","DHRS4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2212","NDUFAF3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2213","DOHH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2214","MKNK1","Male_type_I, Male_type_II"
"2215","TMEM70","Male_type_I, Male_type_II, Female_type_II"
"2216","CHCHD7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2217","PDCD10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2218","EFHD1","Male_type_I, Female_type_I, Female_type_II"
"2219","DDX23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2220","APOO","Male_type_I, Male_type_II, Female_type_I"
"2221","MRI1","Male_type_I, Male_type_II"
"2222","ADI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2223","MECR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2224","NTMT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2225","TUBB2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2226","TMEM109","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2227","PBDC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2228","TMED9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2229","SELENOO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2230","TIMM21","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2231","TPPP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2232","NUDT9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2233","ACAT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2234","FUNDC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2235","CHID1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2236","LSM14B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2237","SORBS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2238","HINT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2239","OSBPL11","Male_type_I"
"2240","NT5C1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2241","BCL2L13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2242","ASPN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2243","IDI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2244","AP1M1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2245","OSBPL1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2246","HDHD5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2247","ITPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2248","EIF2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2249","KIAA1671","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2250","MRPL13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2251","MRPL4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2252","LRRC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2253","NLN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2254","TRIM54","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2255","TRIM55","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2256","BCO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2257","POTEKP","Male_type_I, Female_type_I, Female_type_II"
"2258","FRMD8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2259","MRPL37","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2260","OSBPL6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2261","UACA","Male_type_I, Male_type_II, Female_type_I"
"2262","UBL5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2263","NIBAN1","Male_type_I, Male_type_II, Female_type_II"
"2264","API5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2265","UBE2O","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2266","ZYG11B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2267","XPO4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2268","LNPK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2269","SRCIN1","Male_type_I, Female_type_II"
"2270","YIPF3","Male_type_I, Male_type_II, Female_type_I"
"2271","TINAGL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2272","PITHD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2273","SKIC8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2274","SLIRP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2275","CCDC90B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2276","NIF3L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2277","ANKRD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2278","COA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2279","MFF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2280","NAA50","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2281","MKRN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2282","LHPP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2283","TMEM126A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2284","PAIP1","Male_type_I, Male_type_II, Female_type_II"
"2285","CLPB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2286","ILKAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2287","TOLLIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2288","PCBD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2289","NT5C3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2290","HDHD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2291","QRSL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2292","MAGT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2293","RAB1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2294","C11orf54","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2295","RBM38","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2296","SIL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2297","TMX4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2298","MYLK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2299","EHD4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2300","SH3BGRL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2301","SLK","Male_type_I, Male_type_II, Female_type_II"
"2302","PPIL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2303","PDCL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2304","PPA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2305","MRPL46","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2306","C11orf68","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2307","GHITM","Male_type_I, Female_type_I"
"2308","BOLA2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2309","TMX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2310","PTPN23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2311","RWDD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2312","RBKS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2313","FN3K","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2314","POFUT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2315","RNPEP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2316","GOLPH3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2317","EHD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2318","KLHL31","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2319","TFB2M","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2320","TMEM38A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2321","RETREG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2322","ACSS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2323","NOL6","Male_type_I, Female_type_I"
"2324","DCTPP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2325","SYNC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2326","AAMDC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2327","WDR26","Male_type_I, Male_type_II, Female_type_II"
"2328","PTGES2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2329","PHAX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2330","ACAD9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2331","METTL7A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2332","MMRN2","Male_type_I, Female_type_I"
"2333","GORASP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2334","JPT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2335","SYNPO2L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2336","ARMT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2337","LRRC40","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2338","SFXN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2339","MRPL44","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2340","L2HGDH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2341","COPS7B","Male_type_I, Male_type_II, Female_type_I"
"2342","FN3KRP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2343","TBC1D17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2344","CARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2345","SIAE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2346","GRPEL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2347","MYG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2348","CACYBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2349","PDF","Male_type_I, Female_type_I"
"2350","RDH14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2351","PARVB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2352","AS3MT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2353","TNS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2354","PLGRKT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2355","GLOD4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2356","MCCC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2357","HHATL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2358","PREB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2359","SRA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2360","TM9SF3","Male_type_I"
"2361","JPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2362","APMAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2363","TXNRD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2364","RAB18","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2365","PALMD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2366","SSU72","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2367","VTA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2368","SARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2369","MRPS30","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2370","DYNLRB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2371","MYOZ1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2372","ENY2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2373","MYOZ2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2374","ACOT13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2375","TIMMDC1","Male_type_I, Female_type_I"
"2376","RIC8A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2377","CD93","Male_type_I, Male_type_II, Female_type_I"
"2378","MRPL40","Male_type_I, Female_type_I"
"2379","PLCB1","Male_type_I, Female_type_II"
"2380","TIGAR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2381","RTN4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2382","CYLD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2383","HINT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2384","RPRD1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2385","PFDN4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2386","NIT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2387","XPNPEP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2388","GPHN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2389","STARD7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2390","PDLIM7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2391","ACSS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2392","DIABLO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2393","SAR1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2394","NANS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2395","SH3GLB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2396","EIF2B3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2397","MBNL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2398","SMYD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2399","SDR39U1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2400","ABCB10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2401","AASDHPPT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2402","OSTC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2403","CMC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2404","HEBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2405","DUSP22","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2406","VPS45","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2407","PHPT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2408","FAM114A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2409","AGPAT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2410","GLRX2","Male_type_I, Male_type_II, Female_type_I"
"2411","TOMM22","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2412","LANCL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2413","HOMER2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2414","FARSB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2415","IARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2416","ATG3","Male_type_I, Male_type_II, Female_type_II"
"2417","SIRT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2418","MAN2C1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2419","OLA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2420","CUTC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2421","ECHDC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2422","ACSS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2423","ABHD10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2424","LIN7C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2425","CYRIB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2426","DDX19A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2427","UQCC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2428","SEPTIN11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2429","PANK4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2430","DNAJC11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2431","TMLHE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2432","ATAD3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2433","ARL8B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2434","PRMT7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2435","PNPO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2436","ARMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2437","RBFOX1","Male_type_I, Female_type_I, Female_type_II"
"2438","OXSM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2439","CZIB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2440","BABAM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2441","NMRK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2442","NDUFB11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2443","OCIAD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2444","ADPRS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2445","HYPK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2446","CHCHD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2447","SIRT5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2448","PGPEP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2449","BABAM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2450","DPP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2451","TUBA8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2452","COA4","Male_type_I, Male_type_II, Female_type_I"
"2453","MRPL39","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"2454","MAP3K20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
